,text,Created at,target,Likes,Retweets,lang,geo,Hashtags
13,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-01 23:35:34,1,0,13,es,Netflix,[]
14,"Corte de Luz Oroño y San Juan, desde acá se ven varias manzanas afectadas... Qué onda @epeoficial ?
#Rosario #CorteDeLuz",2022-07-01 23:01:29,1,0,0,es,Venado Tuerto // Rosario,"['Rosario', 'CorteDeLuz']"
15,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-01 22:46:19,1,0,13,es,Buenos Aires,[]
16,@Chilquinta @Chilquinta600 #CorteDeLuz en varios sectores de #Quilpué,2022-07-01 22:43:25,1,0,0,es,,"['CorteDeLuz', 'Quilpué']"
17,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-01 22:26:29,1,0,13,es,En mi lugar en esta vida,[]
18,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-01 22:22:09,1,0,13,es,,[]
19,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-01 22:19:17,1,0,13,es,"Boulogne, Argentina",[]
20,"El #cortedeluz en #bernal de #edesur es bien grande!
Un amigo que vive a 20 cuadras tambien #sinluz",2022-07-01 22:02:56,1,1,0,es,Bernal,"['cortedeluz', 'bernal', 'edesur', 'sinluz']"
21,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-01 21:26:50,1,0,13,es,Buenos Aires,[]
22,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-01 21:22:49,1,0,13,es,,[]
23,"RT @BernalAqui: Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz po…",2022-07-01 21:05:30,1,0,13,es,Argentina,[]
24,"Que lindos @OficialEdesur !
OTRA VEZ EXPLOTO la torre de media tensión de mi cuadra y seguramente nos quedaremos sin luz por un día
Lo ataron con alambre no?

#bernal #cortedeluz #explosion #EDESUR #sinluz",2022-07-01 20:46:19,1,18,13,es,Bernal,"['bernal', 'cortedeluz', 'explosion', 'EDESUR', 'sinluz']"
25,"#CorteDeLuz #peñalolen #Enel  desde las 10, cuando se escuchó una explosión en el se tor de san Luis, no ha vuelto a estar estable... Que onda, un poco de lluvia y nos quedamos sin tecnología... https://t.co/2XT0jHaPrK",2022-07-01 20:11:43,1,0,0,es,"Santiago, Chile","['CorteDeLuz', 'peñalolen', 'Enel']"
26,"A esa @OficialEdesur todos los días tengo #CorteDeLuz  en #adrogue #CorteDeLuzEnAdrogue , los voy a hacer responsable si se me quema algun electrodomestico, usted tambien Sr. @CascallaresPJ haga algo, usted está para algo, no puede ser #TodosLosDias hay #CorteDeLuz en #Adrogué",2022-07-01 19:21:56,1,0,0,es,Argentina,"['CorteDeLuz', 'adrogue', 'CorteDeLuzEnAdrogue', 'TodosLosDias', 'CorteDeLuz', 'Adrogué']"
27,RT @SEC_cl: ⚠️Si eres una o uno de los afectados por el #CortedeLuz en #PuertoVaras haz tu reclamo en la empresa o en 👉https://t.co/MYKZoN5…,2022-07-01 19:07:15,1,0,1,es,"Puerto Varas, Chile","['CortedeLuz', 'PuertoVaras']"
28,⚠️Si eres una o uno de los afectados por el #CortedeLuz en #PuertoVaras haz tu reclamo en la empresa o en 👉https://t.co/MYKZoN5lBp https://t.co/sMEH8YEgmU,2022-07-01 18:50:06,1,0,1,es,"Santiago, Chile","['CortedeLuz', 'PuertoVaras']"
29,⚠️Si eres una o uno de los afectados por el #CortedeLuz en #Recoleta haz tu reclamo en la empresa o en 👉https://t.co/MYKZoN5lBp https://t.co/XpsYFv5uXU,2022-07-01 18:49:32,1,0,1,es,"Santiago, Chile","['CortedeLuz', 'Recoleta']"
30,"@EnelClientesCL #CorteDeEnergia #CorteDeLuz en Irarrázaval 660, Ñuñoa",2022-07-01 18:13:23,1,0,0,es,Santiago,"['CorteDeEnergia', 'CorteDeLuz']"
31,#CorteDeLuz en #ñuñoa https://t.co/H5OxUHElWV,2022-07-01 17:57:51,1,2,0,und,Chile,"['CorteDeLuz', 'ñuñoa']"
32,@EnelClientesCL @Elrro2punto0 Ya reporte el #cortedeluz me pueden informar a que hora repondrá el servicio en la comuna de La Granja?,2022-07-01 17:32:32,1,0,0,es,"Santiago, Chile",['cortedeluz']
33,Hola @EnelClientesCL #CorteDeEnergia #CorteDeLuz en La Granja,2022-07-01 17:16:09,1,0,0,es,,"['CorteDeEnergia', 'CorteDeLuz']"
34,"@EnelClientesCL estoy sin luz desde las 10 am! Comuna de Recoleta, Einstein! #CorteDeLuz",2022-07-01 16:32:27,1,0,0,es,"Santiago, Chile",['CorteDeLuz']
35,⚠️Si eres una o uno de los afectados por el #CortedeLuz en #Renca haz tu reclamo en la empresa o en 👉https://t.co/MYKZoN5lBp https://t.co/H67eMTk1kb,2022-07-01 15:47:57,1,0,0,es,"Santiago, Chile","['CortedeLuz', 'Renca']"
36,RT @labrujula24: Varios barrios están sin luz por un árbol que cayó y cortó varios cables https://t.co/RbzstYZo3g #caídadeárbol #cortedeluz…,2022-07-01 15:35:21,1,0,1,es,Buenos Aires-Bahia Blanca,"['caídadeárbol', 'cortedeluz']"
37,⚠️Si eres una o uno de los afectados por el #CortedeLuz en #ElTabo haz tu reclamo en la empresa o en 👉https://t.co/MYKZoN5lBp https://t.co/0Mhff5wPdG,2022-07-01 15:33:45,1,0,0,es,"Santiago, Chile","['CortedeLuz', 'ElTabo']"
38,⚠️Si eres una o uno de los afectados por el #CortedeLuz en #TeodoroSchmidt haz tu reclamo en la empresa o en 👉https://t.co/MYKZoN5lBp https://t.co/jNxYgoKniB,2022-07-01 15:32:57,1,0,0,es,"Santiago, Chile","['CortedeLuz', 'TeodoroSchmidt']"
39,⚠️Si eres una o uno de los afectados por el #CortedeLuz en #Loncoche haz tu reclamo en la empresa o en 👉https://t.co/MYKZoN5lBp https://t.co/5qcuamoYvY,2022-07-01 15:32:03,1,0,0,es,"Santiago, Chile","['CortedeLuz', 'Loncoche']"
40,"RT @HecktTito: Encontré la mejor definición para “CARA DE RAJA” que existe, es tan perfecta su descripción que aquí se las dejo explicada p…",2022-07-01 15:21:00,1,0,4,es,,[]
41,Varios barrios están sin luz por un árbol que cayó y cortó varios cables https://t.co/RbzstYZo3g #caídadeárbol #cortedeluz #edes https://t.co/K3Ez04A0Ew,2022-07-01 14:48:04,1,5,1,es,Bahía Blanca,"['caídadeárbol', 'cortedeluz', 'edes']"
42,RT @SEC_cl: ⚠️ Recuerda que ante un #CortedeLuz puedes ingresar un reclamo directo desde tu celular🤳en https://t.co/MYKZoN5lBp https://t.co…,2022-07-01 13:37:51,1,0,2,es,,['CortedeLuz']
43,RT @infogatecl: #SEC formula cargos contra #ENEL por #cortedeluz que dejó a un millón de personas sin servicio https://t.co/PAHo0LrLE7 http…,2022-07-01 13:35:16,1,0,2,es,Ñuñoa - Chile,"['SEC', 'ENEL', 'cortedeluz']"
44,RT @SEC_cl: ⚠️ Recuerda que ante un #CortedeLuz puedes ingresar un reclamo directo desde tu celular🤳en https://t.co/MYKZoN5lBp https://t.co…,2022-07-01 12:36:38,1,0,2,es,,['CortedeLuz']
45,⚠️ Recuerda que ante un #CortedeLuz puedes ingresar un reclamo directo desde tu celular🤳en https://t.co/MYKZoN5lBp https://t.co/P8tsQjDUmT,2022-07-01 12:28:54,1,2,2,es,"Santiago, Chile",['CortedeLuz']
46,RT @infogatecl: #SEC formula cargos contra #ENEL por #cortedeluz que dejó a un millón de personas sin servicio https://t.co/PAHo0LrLE7 http…,2022-07-01 12:07:01,1,0,2,es,,"['SEC', 'ENEL', 'cortedeluz']"
47,"RT @monosdelatele: Cansados de la ineficiencia de @EnelChile @EnelClientesCL 
Toda una villa con #CorteDeEnergia #CorteDeLuz de manera reit…",2022-07-01 11:42:10,1,0,3,es,Wallmapu,"['CorteDeEnergia', 'CorteDeLuz']"
48,#SEC formula cargos contra #ENEL por #cortedeluz que dejó a un millón de personas sin servicio https://t.co/PAHo0LrLE7 https://t.co/OQve7weqnx,2022-07-01 10:45:02,1,0,2,es,Santiago de Chile,"['SEC', 'ENEL', 'cortedeluz']"
49,¡Atención! Desde hoy hasta el domingo habrá corte de luz en Lima y Callao: conoce los distritos y horarios https://t.co/oxeaAh73ZY #Cortedeluz #Apagón #Lima #Callao #Enel https://t.co/HPt9BcX6E2,2022-07-01 10:27:04,1,0,0,es,Perú,"['Cortedeluz', 'Apagón', 'Lima', 'Callao', 'Enel']"
50,#copelec sector estación pinto comuna de Coihueco km 21 camino las mariposas sin luz hace aproximadamente 40 minutos #CorteDeLuz #CorteDeEnergia,2022-07-01 5:51:15,1,0,0,es,,"['copelec', 'CorteDeLuz', 'CorteDeEnergia']"
51,"RT @HecktTito: Encontré la mejor definición para “CARA DE RAJA” que existe, es tan perfecta su descripción que aquí se las dejo explicada p…",2022-07-01 4:34:37,1,0,4,es,"Santiago, Chile",[]
52,"@OficialEdesur por favor ya estamos cansados de tener corte todos los días  de por ko menos 6 horas y después los micro cortes seguidos que te queman todo . Basta!!! 
#cortedeluz
#adrogue
#sinluzalmirantebrown",2022-07-01 1:45:07,1,0,0,es,Adrogue,"['cortedeluz', 'adrogue', 'sinluzalmirantebrown']"
53,¡Atención! Desde hoy hasta el domingo habrá corte de luz en Lima y Callao: conoce los distritos y horarios https://t.co/8Ql4iSHhsh #Cortedeluz #Apagón #Lima #Callao #Enel https://t.co/ThskRHNh0E,2022-06-30 23:28:33,1,0,0,es,Perú,"['Cortedeluz', 'Apagón', 'Lima', 'Callao', 'Enel']"
54,"#Ahora
CGE informa #cortedeluz que afecta a 11.572 clientes del sector surponiente de #Rancagua. https://t.co/TNvLE6nIuG",2022-06-30 22:36:02,1,0,0,es,"Rancagua, Chile","['Ahora', 'cortedeluz', 'Rancagua']"
55,#PORSINOLOLEISTE: #SEC formula cargos contra #ENEL por #cortedeluz que dejó a un millón de personas sin servicio https://t.co/PAHo0LrLE7 https://t.co/9BQlqmGC4b,2022-06-30 22:01:21,1,0,0,es,Santiago de Chile,"['PORSINOLOLEISTE', 'SEC', 'ENEL', 'cortedeluz']"
56,#SEC formula cargos contra #ENEL por #cortedeluz que dejó a un millón de personas sin servicio https://t.co/K3tLE3bt4I https://t.co/jNiGiBOdGK,2022-06-30 16:55:41,1,1,0,es,Santiago de Chile,"['SEC', 'ENEL', 'cortedeluz']"
57,⚠️Si eres una o uno de los afectados por el #CortedeLuz en #Yumbel haz tu reclamo en la empresa o en 👉https://t.co/MYKZoN5lBp https://t.co/RGAt3TzeWm,2022-06-30 16:39:08,1,0,0,es,"Santiago, Chile","['CortedeLuz', 'Yumbel']"
58,"@arg_edesur HACE 24 hs que estoy sin luz !! Con frío xq no tengo red de gas !!! Ayuda !!
San Francisco Solano #quilmes2022 
#metrogas 
#municipalidadquilmes 
#solano 
#Enre #CorteDeLuz #CorteDeEnergia #AYUDA #Quilmes",2022-06-30 14:59:57,1,0,0,es,,"['quilmes2022', 'metrogas', 'municipalidadquilmes', 'solano', 'Enre', 'CorteDeLuz', 'CorteDeEnergia', 'AYUDA', 'Quilmes']"
59,"RT @chconstante: Otra vez #cortedeluz en Av La Plata al 200 #Caballito . No fue lluvia, no fue frío ni calor extremo. Más que nunca andate…",2022-06-30 11:02:59,1,0,1,es,Ciudad Autónoma de Buenos Aire,"['cortedeluz', 'Caballito']"
60,"Otra vez #cortedeluz en Av La Plata al 200 #Caballito . No fue lluvia, no fue frío ni calor extremo. Más que nunca andate @andateEdesur @OficialEdesur .
Ya pudren.",2022-06-30 10:52:24,1,3,1,es,Ciudad Autónoma de Buenos Aire,"['cortedeluz', 'Caballito']"
61,Y se cortó la luz de nuevo @EnelClientesCL #CorteDeLuz #Recoleta sector Av Perú,2022-06-30 2:20:52,1,0,0,es,San Marcos ✔ Verified Account,"['CorteDeLuz', 'Recoleta']"
62,@EnelClientesCL #CorteDeLuz #Recoleta sector Av Perú,2022-06-30 2:17:54,1,2,0,es,Santiago,"['CorteDeLuz', 'Recoleta']"
63,"@OficialEdesur Record de #CorteDeLuz #cortedeenergía por Edesur, en Banfield! 48hs SIN LUZ!!!",2022-06-30 1:05:46,1,0,0,es,,"['CorteDeLuz', 'cortedeenergía']"
64,"Hola @OficialEdesur en nuestro barrio vamos por el 2do día sin luz y ni siquiera informar el motivo!
@lanusmunicipio pueden ayudar?
#Lanus #CorteDeLuz #SinLuz",2022-06-29 22:48:12,1,2,0,es,www.aprenderdelerror.com,"['Lanus', 'CorteDeLuz', 'SinLuz']"
65,@EnelClientesCL urgente se necesita el apoyo de @Carabdechile esquina de alto flujo #CorteDeLuz Santos dumont con avenida recoleta https://t.co/jm0m5b3Qer,2022-06-29 22:17:59,1,0,0,es,"Santiago, Chile",['CorteDeLuz']
66,"@_RicardoMilos @nira_rh Estuvo Perfecto, hasta las weas con #Enel peor que #Venezuela 2 gotas #CorteDeLuz hagan inversiones de verdad no puros parches",2022-06-29 22:00:36,1,0,0,es,,"['Enel', 'Venezuela', 'CorteDeLuz']"
67,@EnelClientesCL @PeruAvenida @PeruAvenida estamos sin luz #CorteDeLuz #Recoleta #AvenidaPeru #SantosDumont #AvenidaLaPaz @biobio @radiocarab #NOHAYSEMAFOROS,2022-06-29 21:22:33,1,1,0,es,,"['CorteDeLuz', 'Recoleta', 'AvenidaPeru', 'SantosDumont', 'AvenidaLaPaz', 'NOHAYSEMAFOROS']"
68,Avenida la paz sin luz #CorteDeLuz,2022-06-29 21:21:53,1,0,0,es,Stgo,['CorteDeLuz']
69,"RT @VAL3_TcoFcia: @EnelClientesCL sector santos Dumont con Monserrat sin luz, algún reporte?

#CorteDeLuz",2022-06-29 21:02:07,1,0,2,es,"Santiago, Chile",['CorteDeLuz']
70,"@EnelClientesCL sector santos Dumont con Monserrat sin luz, algún reporte?

#CorteDeLuz",2022-06-29 21:00:16,1,1,2,es,Santiago,['CorteDeLuz']
71,#Cortedeluz en Santos dumont con recoleta... alguien sabe que honda?,2022-06-29 20:59:34,1,1,0,es,,['Cortedeluz']
72,#luz #CorteDeLuz #recoleta @EnelClientesCL corte en Alberto Figueroa,2022-06-29 20:59:10,1,1,0,es,Santiago,"['luz', 'CorteDeLuz', 'recoleta']"
73,"#Cortedeluz en Recoleta.
Av. La Paz con Santos Dumont ⚡️",2022-06-29 20:56:20,1,0,0,es,Chile,['Cortedeluz']
74,"@comunalapintana Hay que reclamar ante @SEC_cl , a no ser que ENEL @EnelChile esté coludida con la SEC y no la obligue a mantención ni multas por no entrega de servicio
#AlumbradoPublico #CortedeEnergia #CorteDeLuz",2022-06-29 20:15:59,1,0,0,es,Wallmapu,"['AlumbradoPublico', 'CortedeEnergia', 'CorteDeLuz']"
75,"@JoseSevesRojas Hay que reclamar por los reiterados y extensos cortes de electricidad ante @SEC_cl , a no ser que ENEL @EnelChile esté coludida con la SEC y no la obligue a mantención ni multas por no entrega de servicio
#AlumbradoPublico #CortedeEnergia #CorteDeLuz",2022-06-29 20:15:37,1,0,0,es,Wallmapu,"['AlumbradoPublico', 'CortedeEnergia', 'CorteDeLuz']"
76,"@elquillayino Hay que reclamar ante @SEC_cl , a no ser que ENEL @EnelChile esté coludida con la SEC y no la obligue a mantención ni multas por no entrega de servicio
#AlumbradoPublico #CortedeEnergia #CorteDeLuz",2022-06-29 20:11:33,1,0,0,es,Wallmapu,"['AlumbradoPublico', 'CortedeEnergia', 'CorteDeLuz']"
77,"@elbosqueLF @EnelClientesCL Hay que reclamar ante @SEC_cl , a no ser que ENEL @EnelChile esté coludida con la SEC y no la obligue a mantención ni multas por no entrega de servicio
#AlumbradoPublico #CortedeEnergia #CorteDeLuz",2022-06-29 20:11:08,1,1,0,es,Wallmapu,"['AlumbradoPublico', 'CortedeEnergia', 'CorteDeLuz']"
78,"@Valemacayaaran1 @EnelClientesCL Hay que reclamar ante @SEC_cl , a no ser que ENEL @EnelChile esté coludida con la SEC y no la obligue a mantención ni multas por no entrega de servicio
#AlumbradoPublico #CortedeEnergia #CorteDeLuz",2022-06-29 20:09:38,1,0,0,es,Wallmapu,"['AlumbradoPublico', 'CortedeEnergia', 'CorteDeLuz']"
79,RT @necoani33192511: #CorteDeLuz #CorteDeEnergia #Chaco https://t.co/wHos1XYCgu,2022-06-29 18:42:36,1,0,1,und,,"['CorteDeLuz', 'CorteDeEnergia', 'Chaco']"
80,RT @Karo_ontwit: Si vive en el sector norte de #puq y se quedó sin luz... éste es el motivo ☝️ #PuntaArenas #cortedeluz  😊 #rt la hora apro…,2022-06-29 18:23:30,1,0,1,es,"Punta Arenas, Chile","['puq', 'PuntaArenas', 'cortedeluz', 'rt']"
81,"Si vive en el sector norte de #puq y se quedó sin luz... éste es el motivo ☝️ #PuntaArenas #cortedeluz  😊 #rt la hora aproximada de termino, sería a las 19:00 esperemos sea antes 😥☝️ @edelmag_sos https://t.co/CIRlboRkEc",2022-06-29 18:15:33,1,2,1,es,,"['puq', 'PuntaArenas', 'cortedeluz', 'rt']"
82,RT @catitaml: He informado de todos estos avisos de corte de energía al contacto de whasapp desde mayo y el problema no se soluciona. @Enel…,2022-06-29 16:45:45,1,0,2,es,,[]
83,#CorteDeLuz #CorteDeEnergia #Chaco https://t.co/EOH5XPIs7s https://t.co/wHos1XYCgu,2022-06-29 15:57:21,1,0,1,und,,"['CorteDeLuz', 'CorteDeEnergia', 'Chaco']"
84,"#CorteDeLuz
Según el comunicado oficial de la SCPL, el corte de luz será este jueves 30 desde las 9 hs hasta las 13 hs.
https://t.co/XeBbm8TuaI",2022-06-29 15:36:12,1,0,0,es,Comodoro Rivadavia,['CorteDeLuz']
85,Jorge Capitanich hablaba de “infraestructura” y se le cortó la luz: “Estamos haciendo lo mejor” #ElChorrilleroSL #CorteDeLuz #JorgeCapitanich https://t.co/zcQr1120Fv,2022-06-29 15:09:46,1,0,0,es,"San Luis, Argentina","['ElChorrilleroSL', 'CorteDeLuz', 'JorgeCapitanich']"
86,⚠️Si eres una o uno de los afectados por el #CortedeLuz en #Valdivia haz tu reclamo en la empresa o en 👉https://t.co/MYKZoN5lBp https://t.co/nwPlG8I8c7,2022-06-29 14:33:26,1,0,0,es,"Santiago, Chile","['CortedeLuz', 'Valdivia']"
87,"RT @luisibacache_: Vecin@s indican que se encuentran #SinEnergia en algunos puntos de #Providencia , @EnelClientesCL alguna hora de solució…",2022-06-29 13:29:57,1,0,3,es,,"['SinEnergia', 'Providencia']"
88,"13 horas sin luz y al llamar ahora dicen que a las 14:00hrs. Tendremos @EnelClientesCL @ContigoCHV @SERNAC 
Primero 2am, después 8:15, ahora 14horas. HASTA CUANDO ESTAREMOS SIN LUZ REALMENTE????
 Es día laboral y estamos sin poder trabajar!!!! 
#ñuñoa
#CorteDeLuz",2022-06-29 13:25:48,1,0,0,es,,"['ñuñoa', 'CorteDeLuz']"
89,"La #digitalización del sector #salud pasa por implantar la #smartRoom del paciente y desarrollar tecnologías de #IA aplicadas al #Bigdata. Iniciativa #CorteDeLuz entrevista al coordinador de la Unidad Big Data e IA de @quironsalud en la revista #ITTrends
https://t.co/pxfzblyDG3 https://t.co/QShDHUXvQy",2022-06-29 13:21:00,1,0,0,es,,"['digitalización', 'salud', 'smartRoom', 'IA', 'Bigdata', 'CorteDeLuz', 'ITTrends']"
90,Hola @OficialEdesur llevamos cadí 12 horas sin luz y nadie nos informa cuando se solucionará? #Lanus #CorteDeLuz @lanusmunicipio @Cortes_en_BsAs https://t.co/lHCXbitZOk,2022-06-29 11:20:15,1,1,1,es,www.aprenderdelerror.com,"['Lanus', 'CorteDeLuz']"
91,RT @TuitsBorrados: #CorteDeLuz https://t.co/qDREjU55Wj,2022-06-29 7:12:40,1,0,201,und,,['CorteDeLuz']
92,RT @TuitsBorrados: Estalló el verano #CorteDeLuz https://t.co/kr9SSEryvg,2022-06-29 7:12:27,1,0,203,es,,['CorteDeLuz']
93,#CorteDeLuz #CorteDeEnergia @EnelClientesCL sector rotonda atenas,2022-06-29 6:03:36,1,1,0,es,Chile,"['CorteDeLuz', 'CorteDeEnergia']"
94,#CorteDeLuz otra ves enel sin energia electrica en piedra roja.....hasta cuando?,2022-06-29 5:16:47,1,0,0,es,,['CorteDeLuz']
95,@Alecasvaz @ProntoCopec #prontocopec #Nunoa #CorteDeLuz #Enel #LosTenores #losprisioneros #ColoColoEnStarPlus #VamosColoColoCTM,2022-06-29 4:38:33,1,1,0,und,Covidlandia,"['prontocopec', 'Nunoa', 'CorteDeLuz', 'Enel', 'LosTenores', 'losprisioneros', 'ColoColoEnStarPlus', 'VamosColoColoCTM']"
96,RT @elquillayino: Durante esta jornada vecinas y vecinos de #LaFlorida acusan #CorteDeLuz en varias ocasiones del día. https://t.co/j6q6TDM…,2022-06-29 4:15:10,1,0,1,es,,"['LaFlorida', 'CorteDeLuz']"
97,RT @bpinop: Corte de luz en Ñuñoa. Cauquenes con Irarrázabal. #CorteDeLuz #Nunoa @EnelClientesCL https://t.co/xXJ6L2L6Vm,2022-06-29 3:57:34,1,0,1,es,"Ñuñoa, Chile","['CorteDeLuz', 'Nunoa']"
98,Durante esta jornada vecinas y vecinos de #LaFlorida acusan #CorteDeLuz en varias ocasiones del día. https://t.co/x9xaf4UWtx,2022-06-29 3:53:48,1,3,0,es,"La Pintana, Chile","['LaFlorida', 'CorteDeLuz']"
99,RT @Jraff82: #LaFlorida #CorteDeEnergia #CorteDeLuz #SinLuz @elquillayino @biobio @reddeemergencia @rodolfocarter @EnelClientesCL @SEC_cl TERCER corte de energía eléctrica en menos de 4 horas. Sector paradero 24 Av. La Florida. Hasta qué hora se sigue cortando la energía elé…,2022-06-29 3:53:47,1,1,0,es,"La Pintana, Chile","['LaFlorida', 'CorteDeEnergia', 'CorteDeLuz', 'SinLuz']"
100,"#CorteDeLuz sinvergüenza,corte de luz normalmente se realiza por no pago de cuentas 😂🤣🤣🤣",2022-06-29 3:53:05,1,0,0,es,,['CorteDeLuz']
101,"RT @seebvpg: @EnelClientesCL en el sector de rojas Magallanes con avenida la florida, hay partes con la luz cortada desde 18:30 hrs, necesi…",2022-06-29 3:31:36,1,0,1,es,Camino al Cajón del Maipo,[]
102,"@EnelClientesCL en el sector de rojas Magallanes con avenida la florida, hay partes con la luz cortada desde 18:30 hrs, necesito soluciones pronto porfavoooor, pleno periodo de exámenes #CorteDeLuz @EnelChile",2022-06-29 3:20:28,1,0,1,es,"La Florida, Chile",['CorteDeLuz']
103,Durante esta jornada vecinas y vecinos de #LaFlorida acusan #CorteDeLuz en varias ocasiones del día. https://t.co/j6q6TDMGiW,2022-06-29 3:17:38,1,2,1,es,la florida,"['LaFlorida', 'CorteDeLuz']"
104,#CorteDeLuz https://t.co/1SYJfVvjZZ,2022-06-29 3:01:47,1,0,0,und,"Las Condes, Chile",['CorteDeLuz']
105,RT @Jraff82: #LaFlorida #CorteDeEnergia #CorteDeLuz #SinLuz @elquillayino @biobio @reddeemergencia @rodolfocarter @EnelClientesCL @SEC_cl T…,2022-06-29 2:56:41,1,0,1,es,la florida,"['LaFlorida', 'CorteDeEnergia', 'CorteDeLuz', 'SinLuz']"
106,"RT @luisibacache_: Vecin@s indican que se encuentran #SinEnergia en algunos puntos de #Providencia , @EnelClientesCL alguna hora de solució…",2022-06-29 2:46:27,1,0,3,es,,"['SinEnergia', 'Providencia']"
107,"RT @AleMarcoteOk: Hola @OficialEdesur 
Nos devolverias la luz en #Lanus ?
El contestador da un número de reclamo pero no informa plazo de r…",2022-06-29 2:39:50,1,0,2,es,Munro Buenos Aires Argentina,['Lanus']
108,@EnelClientesCL En 4 horas y media sin luz perderé todo lo que tengo en el refrigerador. ¿Ustedes pagarán por eso? @EnelClientesCL #CorteDeLuz #corte #CorteDeEnergia #enel #ñuñoa,2022-06-29 2:36:48,1,1,0,es,"Santiago, Chile.","['CorteDeLuz', 'corte', 'CorteDeEnergia', 'enel', 'ñuñoa']"
